name,category,Address,phone,hfpxzc href,MW4etd,UY7F9,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,Phone,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,doJOZc,ah5Ghc,Add,FQ2IWe src,Jn12ke src,qBF1Pd,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 7,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,A1zNzb href,J8zHNe,bbPy1,A1zNzb href 2,J8zHNe 2,bbPy1 2
MosChip® Technologies - Pune,Software company,"2nd Floor, Block C, Tech Park One, iSprout Business Center, Panchshil",079 3533 8580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agiliad Technologies Pvt. Ltd.,Software company,"First Floor, GODREJ CASTLEMAINE, 42, Sasoon Rd",020 6689 1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualitia Software Pvt. Ltd.,Software company,"6th Floor, SAI RADHE COMPLEX, Unit 601, Raja Bahadur Motilal Rd, behind Sheraton Grand Pune Bund Garden Hotel",020 6727 8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADS TECH SERVICES PRIVATE LIMITED,Software company,"A-404 Silver Twin, Vision One Mall, Bhumkar Chowk Rd, near GINGER PUNE",077373 23421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KogniVera IT Solutions Pvt Ltd - Pune,Software company,"8th Floor, Kumar Business Centre, 802, Bund Garden Rd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir,Software company,"1st Floor Metro 9, Aundh - Ravet BRTS Rd, opp. Park Street",085509 92001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DemandFarm,Software company,"Plot No. 100, The Hive, 101/1, Raja Bahadur Mill Rd, behind Sheraton Grand Pune Bund Garden Hotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zexus Technologies,Software company,Closed,072764 47044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarla Advantech Private Limited,Software company,"GODREJ CASTLEMAINE, 601 & 602, Sasoon Rd, behind Ruby Hall Clinic",020 6728 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipco IT Pvt. Ltd.,Software company,"Sai Radhe, 602-603, Plot No 101-102, Behind Sheraton Hotel, near Pune Station",090280 67594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinnia Digital Service- Pune Campus,Technology park,701 & 702,020 6766 0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway Group of Companies - Pune,Software company,·,020 6522 9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sepadu Tech Pvt Ltd,Engineering consultant,"4th Floor, Office Towers, Office no.421,422,Vision One Mall, 403, Bhumkar Chowk Rd, near Ginger Hotel",098504 13122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLM Software Company Pune | Website Development Company,Software company,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP IT Technologies - IT Support & Firewall Services in Pune,Computer support and services,"Office- 207, 2nd floor, Parmar Trade Centre, B Wing, Sadhu Vaswani Chowk",098907 52904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantumID India (Pvt) Ltd.,Software company,"301, Manikchand Ikon, Phase 1, Dhole Patil Road",020 6620 4640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra Informatics Opc Pvt Ltd,Software company,"Office No 1034, Gera Imperium Rise, opposite Wipro Circle",093734 99415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND GYM SOFTWARE - BEST GYM SOFTWARE,Software company,"office no. 328, KHINVASARA TRADE CENTER, Athavan chowk, Datta Mandir Rd",099603 01201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empower Integrated Solutions (P) Ltd.,Software company,"The Hive -The Mills at RBCC, Raja Bahadur Motilal Rd, behind Sheraton Grand Pune Bund Garden Hotel",020 4902 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardcastle GIS Solutions Pvt Ltd,Software company,"B-10 Hive,The Mills at RBCC, Raja Bahadur Mill Rd, behind Sheraton Grand Hotel",096650 50993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tech Career Solution,Recruiter,"Ganesh Mandir Hinjewadi Road, Near, Dange Chowk Rd",072767 56905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspirria Cloudtech Private Limited,Software company,"SAI RADHE COMPLEX, 5th Floor, Wing B, Raja Bahadur Motilal Rd, behind Hotel Sheraton Grand",44394251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
